Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,26.299999,27.129999,26.290001,26.360001,13.713215,59195200
2021-11-23,26.610001,28.049999,26.500000,27.799999,14.462344,108382300
2021-11-24,27.780001,28.440001,27.510000,28.370001,14.758874,64263300
2021-11-25,29.049999,29.790001,28.559999,29.620001,15.409159,104052200
2021-11-26,28.389999,29.160000,28.070000,28.469999,14.810896,108871800
2021-11-29,29.360001,29.820000,28.809999,29.469999,15.331124,84672200
2021-11-30,29.299999,29.639999,28.860001,29.430000,15.310314,129384600
2021-12-01,29.840000,30.670000,29.480000,29.600000,15.398755,135078600
2021-12-02,26.990000,28.490000,26.200001,28.360001,16.573692,191410300
2021-12-03,28.480000,28.940001,28.219999,28.760000,16.807453,105133000
2021-12-06,28.780001,29.270000,28.680000,28.889999,16.883427,66142300
2021-12-07,29.280001,29.570000,28.799999,29.360001,17.158096,98989300
2021-12-08,29.360001,30.070000,29.219999,29.350000,17.152252,71167700
2021-12-09,29.100000,29.490000,28.790001,29.290001,17.117188,67668200
2021-12-10,29.500000,30.100000,29.480000,29.650000,17.327572,38517500
2021-12-13,29.670000,30.049999,29.290001,29.469999,17.222380,45448700
2021-12-14,29.610001,29.850000,29.010000,29.120001,17.017839,56833800
2021-12-15,29.100000,29.299999,28.590000,29.299999,17.123032,55085100
2021-12-16,29.620001,29.980000,29.500000,29.690001,17.350948,56545700
2021-12-17,29.320000,29.639999,28.780001,28.990000,16.941866,93593700
2021-12-20,28.440001,28.549999,27.680000,28.160000,16.456810,106282500
2021-12-21,28.549999,28.719999,28.120001,28.200001,16.480186,40454500
2021-12-22,28.400000,28.400000,27.969999,28.160000,16.456810,33734500
2021-12-23,28.330000,28.420000,28.150000,28.330000,16.556160,28713600
2021-12-27,28.320000,28.780001,28.150000,28.750000,16.801609,44227900
2021-12-28,29.010000,29.280001,28.700001,28.780001,16.819141,30688100
2021-12-29,28.700001,28.900000,28.420000,28.540001,16.678885,35508400
2021-12-30,28.549999,28.700001,28.389999,28.450001,16.626287,43229100
2022-01-03,28.540001,29.219999,28.530001,29.090000,17.000307,52704700
2022-01-04,29.160000,29.400000,28.910000,29.200001,17.064590,51739200
2022-01-05,29.190001,29.270000,27.940001,28.070000,16.404213,78459800
2022-01-06,28.290001,28.650000,27.840000,28.049999,16.392527,61163100
2022-01-07,28.110001,28.290001,27.820000,28.180000,16.468498,47507600
2022-01-10,27.990000,28.240000,27.719999,28.010000,16.369150,37455200
2022-01-11,28.100000,29.070000,27.850000,28.840000,16.854206,73623800
2022-01-12,28.950001,29.910000,28.950001,29.719999,17.368481,81378200
2022-01-13,29.530001,30.629999,29.500000,30.320000,17.719122,76717500
2022-01-14,30.280001,31.600000,30.240000,31.450001,18.379499,96458800
2022-01-17,31.400000,31.809999,31.250000,31.500000,18.408720,35675900
2022-01-18,31.559999,31.980000,30.969999,31.639999,18.490536,78198800
2022-01-19,31.900000,32.209999,31.440001,31.490000,18.402876,77480200
